"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 12","0","0","0","0","0"
"June 13","0","0","0","0","0"
"June 14","0","0","0","0","0"
"June 15","0","0","0","0","0"
"June 16","0","0","0","0","0"
"June 17","0","0","0","0","0"
"June 18","0","0","0","0","0"
"June 19","0","0","0","0","0"
"June 20","0","0","0","0","0"
"June 21","0","0","0","0","0"
"June 22","0","0","0","0","0"
"June 23","0","0","0","0","0"
"June 24","0","0","0","0","0"
"June 25","0","0","0","0","0"
"June 26","0","0","0","0","0"
"June 27","0","0","0","0","0"
"June 28","0","0","0","0","0"
"June 29","0","0","0","0","0"
"June 30","0","0","0","0","0"
"July 1","0","0","0","0","0"
"July 2","0","0","0","0","0"
"July 3","0","0","0","0","0"
"July 4","0","0","0","0","0"
"July 5","0","0","0","0","0"
"July 6","0","0","0","0","0"
"July 7","0","0","0","0","0"
"July 8","0","0","0","0","0"
"July 9","0","0","0","0","0"
"July 10","0","0","0","0","0"
"July 11","0","0","0","0","0"
"July 12","0","0","0","0","0"
"July 13","0","0","0","0","0"
"July 14","0","0","0","0","0"
"July 15","0","0","0","0","0"
"July 16","0","0","0","0","0"
"July 17","0","0","0","0","0"
"July 18","0","0","0","0","0"
"July 19","0","0","0","0","0"
"July 20","0","0","0","0","0"
"July 21","0","0","0","0","0"
"July 22","0","0","0","0","0"
"July 23","0","0","0","0","0"
"July 24","0","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","0","0","0","0","0"
"July 28","0","0","0","0","0"
"July 29","0","0","0","0","0"
"July 30","0","0","0","0","0"
"July 31","0","0","0","0","0"
"August 1","0","0","0","0","0"
"August 2","0","0","0","0","0"
"August 3","0","0","0","0","0"
"August 4","0","0","0","0","0"
"August 5","0","0","0","0","0"
"August 6","0","0","0","0","0"
"August 7","0","0","0","0","0"
"August 8","0","0","0","0","0"
"August 9","0","0","0","0","0"
"August 10","0","0","0","0","0"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","0","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","0","0","0","0","0"
"August 16","0","0","0","0","0"
"August 17","0","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","0","0","0","0","0"
"August 20","0","0","0","0","0"
"August 21","0","0","0","0","0"
"August 22","0","0","0","0","0"
"August 23","0","0","0","0","0"
